,area_type,availability,location,society,total_sqft,bath,balcony,price,bedroom
46,Super built-up  Area,Ready To Move,Doddathoguru,LancyRe,970.0,2.0,0.0,33.0,2
47,Super built-up  Area,20-Sep,Whitefield,Goted U,1459.0,2.0,1.0,94.82,2
50,Super built-up  Area,Ready To Move,other,Bhncyis,1270.0,2.0,1.0,50.0,2
51,Super built-up  Area,18-Mar,Bhoganhalli,Rosha I,1670.0,3.0,1.0,99.0,3
52,Built-up  Area,Ready To Move,Whitefield,Suent V,2010.0,3.0,2.0,91.0,3
53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1185.0,2.0,2.0,75.0,2
54,Super built-up  Area,Ready To Move,Yelahanka,NCowsar,1600.0,2.0,3.0,75.0,3
55,Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2.0,2.0,44.0,2
57,Super built-up  Area,Ready To Move,other,PeBayle,1500.0,2.0,2.0,185.0,2
61,Super built-up  Area,Ready To Move,other,Laavevi,845.0,2.0,1.0,55.0,2
62,Plot  Area,Ready To Move,Whitefield,Chranya,5700.0,5.0,3.0,650.0,4
63,Built-up  Area,Ready To Move,Varthur,HioraTr,1160.0,2.0,2.0,44.0,2
66,Super built-up  Area,18-Apr,Gunjur,BMineis,1140.0,2.0,3.0,43.0,2
71,Super built-up  Area,20-Aug,Begur Road,Pruthg ,1358.0,2.0,1.0,80.58,2
72,Super built-up  Area,Ready To Move,Hegde Nagar,Sonosty,1569.0,3.0,1.0,101.0,3
73,Super built-up  Area,18-Apr,Haralur Road,SNnia E,1240.0,2.0,1.0,70.0,2
74,Super built-up  Area,Ready To Move,Hennur Road,Anavi B,2089.0,3.0,2.0,140.0,3
77,Built-up  Area,Ready To Move,other,Viony H,2511.0,3.0,3.0,205.0,3
80,Super built-up  Area,Ready To Move,other,AdentEl,1660.0,2.0,2.0,105.0,3
82,Super built-up  Area,19-Mar,Yelahanka,Niareum,1326.0,2.0,2.0,78.0,2
84,Super built-up  Area,Ready To Move,EPIP Zone,SJlynro,1499.0,5.0,2.0,102.0,3
87,Super built-up  Area,17-Sep,Dasanapura,Tavenew,708.0,2.0,2.0,37.0,2
88,Super built-up  Area,Ready To Move,Kasavanhalli,Srire S,1060.0,2.0,2.0,58.06,2
90,Built-up  Area,Ready To Move,other,Saenti ,1000.0,2.0,2.0,70.0,2
94,Super built-up  Area,17-Aug,Thanisandra,Bhmesy ,1296.0,2.0,3.0,80.0,2
96,Plot  Area,Ready To Move,Kengeri,Goardth,2894.0,4.0,1.0,245.0,4
100,Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,2502.0,3.0,3.0,138.0,3
101,Built-up  Area,Ready To Move,Chandapura,KHityry,650.0,1.0,1.0,17.0,2
102,Plot  Area,Ready To Move,Kothanur,BDensar,2400.0,2.0,1.0,150.0,3
103,Super built-up  Area,Ready To Move,other,Makeser,1007.0,2.0,2.0,43.0,2
104,Super built-up  Area,Ready To Move,other,Maest N,1200.0,2.0,2.0,50.0,2
107,Built-up  Area,Ready To Move,Rajaji Nagar,Brway G,1640.0,3.0,2.0,229.0,3
109,Super built-up  Area,19-Apr,Devanahalli,Oznuean,1260.0,2.0,2.0,66.78,2
111,Super built-up  Area,Ready To Move,other,Reeroce,1413.0,2.0,2.0,75.0,3
112,Super built-up  Area,Ready To Move,Whitefield,Sonviik,1116.0,2.0,1.0,51.91,2
113,Super built-up  Area,Ready To Move,Electronic City,DSgmax ,1530.0,2.0,1.0,45.9,3
115,Built-up  Area,Ready To Move,Sarjapur  Road,Cetattu,2497.0,3.0,2.0,140.0,3
116,Super built-up  Area,Ready To Move,Kengeri,Vaens G,1540.0,2.0,3.0,64.0,3
120,Super built-up  Area,Ready To Move,Thanisandra,Moity S,1427.0,3.0,2.0,120.0,3
121,Super built-up  Area,Ready To Move,Akshaya Nagar,HiahsLa,2061.0,3.0,1.0,200.0,3
122,Super built-up  Area,18-Mar,Hebbal,SNontle,5611.5,4.0,0.0,477.0,4
124,Super built-up  Area,22-Dec,Devanahalli,Sabixtt,1282.0,2.0,2.0,68.52,3
126,Built-up  Area,Ready To Move,other,Sragei ,1600.0,3.0,2.0,65.0,3
128,Super built-up  Area,Ready To Move,Hormavu,SyidaCr,1500.0,2.0,1.0,78.0,2
130,Built-up  Area,Ready To Move,other,Jahts H,1870.0,3.0,3.0,110.0,3
131,Plot  Area,Ready To Move,Sarjapur,Inensba,1600.0,3.0,1.0,75.0,3
134,Super built-up  Area,Ready To Move,Kudlu Gate,Srier P,1535.0,3.0,2.0,83.0,3
135,Built-up  Area,Ready To Move,Kanakpura Road,Wiowsri,950.0,2.0,1.0,57.0,2
136,Super built-up  Area,18-Aug,Devanahalli,Derdsig,1360.0,2.0,1.0,65.0,2
137,Super built-up  Area,19-Mar,8th Phase JP Nagar,Vaarech,1073.5,2.0,0.0,54.005,2
139,Super built-up  Area,19-Jan,other,TiaksAa,1260.0,2.0,2.0,85.05,3
141,Super built-up  Area,19-Dec,Yelahanka,LedorSa,3050.0,5.0,1.0,213.0,5
142,Super built-up  Area,Ready To Move,Kasavanhalli,HMwerCo,1563.05,3.0,1.0,105.0,3
144,Super built-up  Area,17-Jul,Anandapura,ViensRK,1167.0,2.0,1.0,43.76,2
147,Super built-up  Area,Ready To Move,Kengeri Satellite Town,HoiewLa,890.0,2.0,1.0,35.0,2
148,Super built-up  Area,Ready To Move,other,Dwity T,1612.0,3.0,3.0,46.74,3
150,Super built-up  Area,19-Apr,Mysore Road,Brama P,1710.0,4.0,2.0,91.31,3
151,Super built-up  Area,Ready To Move,Kannamangala,VBownre,957.0,2.0,1.0,58.0,2
154,Super built-up  Area,Ready To Move,Hulimavu,Prcan P,1125.0,2.0,2.0,50.0,2
155,Super built-up  Area,18-Jul,Electronic City Phase II,Sryalan,1020.0,2.0,1.0,30.6,2
157,Super built-up  Area,Ready To Move,Thanisandra,Soitya ,1735.0,3.0,3.0,135.0,3
158,Super built-up  Area,Ready To Move,Thanisandra,G conTh,2050.0,3.0,1.0,145.0,3
161,Super built-up  Area,18-May,Hosa Road,SStusan,1063.0,2.0,1.0,32.0,2
162,Super built-up  Area,Ready To Move,other,ETens G,1904.0,3.0,1.0,150.0,3
164,Super built-up  Area,Ready To Move,other,Hohnari,2000.0,3.0,1.0,175.0,3
165,Super built-up  Area,18-Dec,Sarjapur,Kinuerg,1242.5,2.0,0.0,43.49,2
166,Super built-up  Area,Ready To Move,other,Naods W,1425.0,2.0,2.0,75.0,3
167,Super built-up  Area,Ready To Move,Electronic City,GMown E,1500.0,2.0,1.0,64.5,3
168,Built-up  Area,Ready To Move,Electronic City,GMown E,1060.0,2.0,1.0,60.0,2
169,Built-up  Area,Ready To Move,other,Sancyra,1470.0,2.0,2.0,70.0,3
171,Super built-up  Area,Ready To Move,Attibele,Jae 1hu,450.0,1.0,1.0,11.0,1
172,Super built-up  Area,18-Apr,Electronic City,Prarkun,1152.0,2.0,1.0,64.5,2
173,Super built-up  Area,Ready To Move,Electronic City,GMown E,1350.0,2.0,1.0,56.0,3
174,Super built-up  Area,Ready To Move,CV Raman Nagar,Srshq T,1550.0,3.0,3.0,65.0,3
178,Super built-up  Area,Ready To Move,Malleshwaram,Utntspa,705.0,1.0,2.0,67.0,1
179,Built-up  Area,Ready To Move,Electronic City,GMown E,770.0,1.0,1.0,36.0,2
180,Super built-up  Area,Ready To Move,Hulimavu,Aniona ,1242.0,2.0,3.0,51.0,2
181,Super built-up  Area,Ready To Move,Hebbal Kempapura,Goateds,1700.0,3.0,2.0,155.0,3
182,Super built-up  Area,Ready To Move,Thanisandra,Soitya ,2144.0,3.0,2.0,145.0,3
183,Super built-up  Area,21-Jun,Vijayanagar,Saahaat,1704.0,3.0,2.0,110.0,3
184,Super built-up  Area,Ready To Move,Electronic City,GMown E,1070.0,2.0,1.0,52.0,2
187,Built-up  Area,Ready To Move,Electronic City,GMown E,1025.0,2.0,1.0,46.0,2
188,Super built-up  Area,Ready To Move,KR Puram,MCvarar,1277.5,2.0,0.0,56.8,2
189,Super built-up  Area,Ready To Move,Marathahalli,VRave E,1200.0,2.0,2.0,52.0,2
191,Super built-up  Area,Ready To Move,Pattandur Agrahara,MaidoPl,1550.0,2.0,3.0,80.0,3
194,Super built-up  Area,Ready To Move,Marathahalli,Aiitya ,1200.0,2.0,2.0,60.0,2
195,Super built-up  Area,Ready To Move,Yelahanka,PuziaVe,1327.0,2.0,2.0,98.0,2
198,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1400.0,3.0,2.0,56.0,3
202,Built-up  Area,Ready To Move,Whitefield,Sancya ,1225.0,2.0,2.0,47.6,2
204,Built-up  Area,Ready To Move,Kadugodi,MSingco,1260.0,2.0,2.0,54.0,3
205,Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,1282.0,2.0,2.0,48.7,3
206,Super built-up  Area,Ready To Move,other,CaIRSCr,1909.0,3.0,2.0,88.0,3
207,Super built-up  Area,Ready To Move,Panathur,Prcesvy,1359.0,2.0,1.0,87.0,2
211,Super built-up  Area,Ready To Move,Kammasandra,Emstael,1595.0,3.0,2.0,65.0,3
213,Super built-up  Area,Ready To Move,Electronics City Phase 1,SNdri N,1475.0,3.0,2.0,78.29,3
214,Super built-up  Area,Ready To Move,other,HodhiSa,1580.0,3.0,3.0,100.0,3
215,Super built-up  Area,Ready To Move,Dasarahalli,Syonyph,1295.0,2.0,1.0,65.0,2
217,Super built-up  Area,Ready To Move,Electronic City,Itvir M,589.0,1.0,1.0,27.0,1
219,Super built-up  Area,18-Dec,Sarjapur  Road,Klark L,1787.0,3.0,2.0,98.29,3
220,Super built-up  Area,Ready To Move,Sarjapur  Road,Klark L,1787.0,3.0,2.0,125.0,3
221,Super built-up  Area,Ready To Move,Koramangala,Piityra,1475.0,2.0,3.0,90.0,3
223,Super built-up  Area,19-Mar,Sarjapur  Road,AsastDe,984.0,2.0,1.0,44.28,2
225,Super built-up  Area,Ready To Move,other,MacleK ,2405.0,4.0,2.0,260.0,3
226,Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,72.0,2
230,Super built-up  Area,Ready To Move,Budigere,PrityTr,1153.0,2.0,2.0,56.4,2
231,Super built-up  Area,Ready To Move,other,AlEcone,1148.0,2.0,2.0,60.0,2
232,Super built-up  Area,Ready To Move,other,Laowsba,1110.0,2.0,2.0,55.0,2
233,Built-up  Area,Ready To Move,Electronic City,Saave R,1100.0,2.0,2.0,42.0,2
234,Super built-up  Area,Ready To Move,Kalyan nagar,Anave S,1290.0,2.0,2.0,110.0,2
237,Super built-up  Area,21-Jun,Vijayanagar,Saityat,1933.0,3.0,1.0,129.0,3
240,Super built-up  Area,18-Aug,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1
242,Super built-up  Area,18-Sep,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1
243,Super built-up  Area,Ready To Move,other,SJcerpe,1644.0,3.0,3.0,84.0,3
244,Super built-up  Area,Ready To Move,other,Supams ,1285.0,2.0,3.0,72.5,2
246,Super built-up  Area,Ready To Move,Electronic City,CoapeSo,910.0,2.0,1.0,40.0,2
247,Super built-up  Area,Ready To Move,Kothanur,Bisic C,1577.0,3.0,1.0,70.0,3
248,Plot  Area,17-May,other,Sreat R,4050.0,3.0,2.0,280.0,3
249,Super built-up  Area,Ready To Move,other,Inntsa ,2420.0,3.0,2.0,185.0,3
250,Super built-up  Area,Ready To Move,Chandapura,KHityry,800.0,1.0,1.0,20.0,2
252,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1270.0,2.0,2.0,93.0,2
257,Super built-up  Area,17-Jun,Electronic City,Prarkun,1108.0,2.0,1.0,63.0,2
259,Super built-up  Area,Ready To Move,other,Calyxy ,3045.0,3.0,2.0,170.0,3
260,Plot  Area,Ready To Move,Ambedkar Nagar,Thessrm,2900.0,3.0,2.0,300.0,4
261,Super built-up  Area,Ready To Move,Vijayanagar,JJortom,1500.0,3.0,2.0,75.5,3
262,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1295.0,2.0,2.0,43.9,2
263,Super built-up  Area,Ready To Move,Budigere,PrityTr,1162.0,2.0,1.0,59.9,2
264,Super built-up  Area,Ready To Move,Sarjapur  Road,Usquaya,1035.0,2.0,2.0,49.2,2
265,Built-up  Area,Ready To Move,Attibele,Natic T,1600.0,4.0,0.0,52.8,4
267,Super built-up  Area,18-Oct,Hennur Road,DSapeSk,1866.0,2.0,2.0,61.58,3
268,Super built-up  Area,Ready To Move,other,Jahtsa ,700.0,1.0,1.0,26.0,2
269,Super built-up  Area,Ready To Move,Kalena Agrahara,Prillot,1804.0,3.0,2.0,120.0,3
271,Super built-up  Area,21-Dec,Talaghattapura,Sodgere,1868.0,3.0,2.0,131.0,3
275,Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,2026.0,3.0,2.0,132.0,3
276,Super built-up  Area,Ready To Move,Balagere,Soestin,1210.0,2.0,1.0,80.9,2
277,Plot  Area,Ready To Move,other,Sreat R,4111.0,4.0,2.0,250.0,4
278,Super built-up  Area,Ready To Move,Kadugodi,Alestrb,1762.0,3.0,3.0,91.45,3
279,Super built-up  Area,Ready To Move,Jigani,DLhtsen,1252.0,3.0,3.0,55.0,3
280,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,Mauner ,861.0,2.0,1.0,34.5,2
281,Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1420.0,2.0,1.0,100.0,3
283,Built-up  Area,Ready To Move,Electronics City Phase 1,GaicaVe,1490.0,3.0,1.0,78.8,3
285,Super built-up  Area,18-Aug,Old Madras Road,Saesttt,1425.0,2.0,2.0,94.0,3
286,Built-up  Area,Ready To Move,Kalena Agrahara,Nae 2El,1200.0,2.0,1.0,40.0,2
288,Super built-up  Area,Ready To Move,other,Bhinglv,1084.0,2.0,2.0,50.0,2
289,Super built-up  Area,18-Jul,Chandapura,SunceEs,1015.0,2.0,2.0,25.88,2
290,Super built-up  Area,21-May,Kanakpura Road,GolusLi,1017.0,2.0,1.0,51.25,2
292,Super built-up  Area,Ready To Move,Electronic City Phase II,Coush W,1069.0,2.0,2.0,45.0,2
293,Super built-up  Area,Ready To Move,Hebbal,Prersis,1349.0,2.0,1.0,98.2,2
294,Super built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,50.0,2
295,Super built-up  Area,Ready To Move,Jakkur,Arzzo P,1417.0,2.0,3.0,75.0,2
297,Carpet  Area,Ready To Move,other,SMikaay,950.0,2.0,2.0,47.0,2
298,Super built-up  Area,Ready To Move,other,Prave E,2000.0,4.0,0.0,120.0,4
300,Super built-up  Area,Ready To Move,Sarjapur  Road,Ahriaup,1863.0,3.0,2.0,104.0,4
301,Super built-up  Area,Ready To Move,other,Priewhi,1010.0,2.0,1.0,29.5,2
302,Super built-up  Area,Ready To Move,Kalena Agrahara,Shodsth,1425.0,2.0,1.0,70.0,3
303,Super built-up  Area,Ready To Move,Vijayanagar,Swadeh ,1450.0,3.0,0.0,100.0,3
304,Super built-up  Area,Ready To Move,Kothanur,Somumys,1847.0,3.0,2.0,105.0,3
305,Super built-up  Area,Ready To Move,AECS Layout,Soran U,1100.0,2.0,3.0,45.0,2
306,Super built-up  Area,20-Dec,Kanakpura Road,PrarePa,525.0,1.0,1.0,26.0,1
307,Super built-up  Area,Ready To Move,other,Puestig,1665.0,3.0,2.0,95.0,3
308,Super built-up  Area,Ready To Move,Begur,Prntsrt,1664.0,4.0,3.0,65.0,4
309,Super built-up  Area,Ready To Move,JP Nagar,Maerar ,1850.0,3.0,3.0,150.0,3
310,Super built-up  Area,Ready To Move,Panathur,Vaesh T,1438.0,2.0,3.0,100.0,2
311,Super built-up  Area,Ready To Move,other,MaisePa,1560.0,3.0,3.0,115.0,3
313,Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,1550.0,3.0,3.0,67.0,3
317,Super built-up  Area,Ready To Move,Whitefield,Gotis A,1280.0,2.0,2.0,75.0,2
319,Super built-up  Area,Ready To Move,other,Puodse ,1113.0,2.0,1.0,51.0,2
320,Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1385.0,2.0,1.0,83.09,2
321,Super built-up  Area,18-Apr,Electronic City,Prarkun,1128.0,2.0,1.0,65.0,2
324,Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,2390.0,3.0,2.0,415.0,3
326,Super built-up  Area,Ready To Move,Haralur Road,NRowse ,1464.0,3.0,2.0,56.0,3
328,Super built-up  Area,Ready To Move,other,Abncy R,1200.0,2.0,2.0,52.0,2
329,Super built-up  Area,Ready To Move,Kaggalipura,Baowsig,1150.0,2.0,1.0,55.0,3
330,Built-up  Area,Ready To Move,other,Itala A,1645.0,3.0,2.0,95.0,3
333,Super built-up  Area,Ready To Move,other,HMinebo,1192.0,2.0,2.0,74.0,2
334,Super built-up  Area,Ready To Move,other,K borja,2135.0,3.0,2.0,215.0,3
335,Super built-up  Area,19-Dec,Whitefield,Oreldhi,1173.0,2.0,1.0,58.0,2
336,Built-up  Area,Ready To Move,Uttarahalli,Sungspr,1020.0,2.0,2.0,45.0,2
337,Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,3122.0,6.0,2.0,230.0,4
341,Super built-up  Area,Ready To Move,other,Clntsrt,1250.0,2.0,2.0,40.0,2
342,Super built-up  Area,Ready To Move,Kalena Agrahara,PuamaPa,1325.0,2.0,2.0,76.0,2
343,Built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,1.0,150.0,3
347,Super built-up  Area,18-Jun,Bommasandra,SSestth,1260.0,3.0,1.0,49.36,3
348,Super built-up  Area,Ready To Move,other,Vancy R,1800.0,3.0,0.0,150.0,3
350,Built-up  Area,Ready To Move,Ardendale,Miwel M,1100.0,2.0,1.0,43.25,2
351,Super built-up  Area,Ready To Move,Harlur,SrEndPo,1508.0,2.0,1.0,77.0,2
352,Carpet  Area,Ready To Move,other,Puens G,1592.0,3.0,2.0,75.0,3
353,Super built-up  Area,Ready To Move,Akshaya Nagar,SagasSa,1388.0,2.0,3.0,57.0,2
354,Super built-up  Area,18-May,Electronic City Phase II,SNbay G,630.0,1.0,1.0,28.35,1
358,Super built-up  Area,Ready To Move,Kodihalli,Soianal,3252.0,5.0,3.0,335.0,4
359,Super built-up  Area,18-Aug,Magadi Road,Vrenty ,1116.0,2.0,1.0,50.0,2
360,Super built-up  Area,Ready To Move,other,AriosHe,1308.0,2.0,2.0,89.04,2
364,Super built-up  Area,Ready To Move,Hennur,SLureSi,1075.0,2.0,1.0,52.0,2
365,Super built-up  Area,18-Mar,Chandapura,Siissi ,530.0,1.0,0.0,11.66,1
367,Super built-up  Area,Ready To Move,5th Phase JP Nagar,Mangsr ,1075.0,2.0,2.0,60.0,2
368,Built-up  Area,Ready To Move,KR Puram,HovasTe,930.0,2.0,2.0,39.0,2
369,Super built-up  Area,Ready To Move,Balagere,Exncene,1380.0,2.0,1.0,60.0,2
370,Super built-up  Area,Ready To Move,Hebbal,Prersis,2483.0,5.0,2.0,212.0,4
371,Built-up  Area,Ready To Move,other,Shyas S,1166.0,2.0,2.0,55.0,2
372,Super built-up  Area,Ready To Move,Bannerghatta Road,NadelCi,1050.0,2.0,1.0,65.0,2
373,Super built-up  Area,19-Mar,other,Sothadr,2023.71,3.0,2.0,275.0,3
374,Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2.0,2.0,46.8,2
375,Super built-up  Area,Ready To Move,Lakshminarayana Pura,Puarent,1600.0,2.0,1.0,108.0,3
376,Super built-up  Area,Ready To Move,Billekahalli,MaionPa,1935.0,3.0,2.0,110.0,3
377,Super built-up  Area,18-May,8th Phase JP Nagar,Maian M,451.0,1.0,0.0,29.9,1
378,Super built-up  Area,Ready To Move,Electronic City,ShstaAl,1800.0,3.0,2.0,95.0,3
379,Super built-up  Area,18-May,Jalahalli,Shard T,1400.0,3.0,0.0,77.0,3
380,Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1801.0,3.0,2.0,115.0,3
383,Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1160.0,2.0,2.0,44.0,2
385,Super built-up  Area,Ready To Move,Kanakpura Road,Wiowsri,950.0,2.0,1.0,40.0,2
388,Super built-up  Area,21-Jun,Vijayanagar,Saityat,1826.0,3.0,2.0,121.0,3
389,Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1245.0,2.0,1.0,94.0,2
390,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Lancyey,1145.0,2.0,2.0,45.79,2
391,Super built-up  Area,Ready To Move,other,Suiseit,825.0,2.0,1.0,33.0,2
392,Super built-up  Area,18-Aug,Yeshwanthpur,Aroomba,1693.0,3.0,3.0,108.0,3
393,Super built-up  Area,Ready To Move,Electronics City Phase 1,Courf T,1113.27,2.0,2.0,53.0,2
394,Built-up  Area,Ready To Move,other,VMowsea,1460.0,2.0,1.0,58.0,2
395,Built-up  Area,Ready To Move,Doddathoguru,S onsMa,1050.0,2.0,1.0,32.0,2
396,Built-up  Area,Ready To Move,Dodda Nekkundi,Tuentpa,1260.0,2.0,2.0,55.0,2
398,Built-up  Area,Ready To Move,Hosur Road,Tovesee,1656.0,2.0,1.0,120.0,2
399,Super built-up  Area,Ready To Move,Chandapura,Vailsaf,1208.0,3.0,1.0,45.0,3
400,Super built-up  Area,Ready To Move,Whitefield,BrlisCo,1910.0,3.0,2.0,161.0,3
401,Super built-up  Area,Ready To Move,Whitefield,Haestt ,3252.0,4.0,1.0,230.0,4
404,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1175.0,2.0,1.0,82.0,2
407,Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,2390.0,3.0,2.0,410.0,3
412,Super built-up  Area,Ready To Move,Kengeri,VBvenal,750.0,2.0,1.0,38.0,2
414,Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,1550.0,3.0,3.0,64.5,3
415,Built-up  Area,Ready To Move,other,Hoeatan,1760.0,3.0,2.0,88.0,3
416,Super built-up  Area,Ready To Move,Billekahalli,Asity S,1125.0,2.0,2.0,62.0,2
421,Super built-up  Area,Ready To Move,Budigere,PrityTr,1991.0,4.0,2.0,103.0,3
422,Super built-up  Area,18-Oct,Bommasandra,DSoodil,1060.0,2.0,1.0,26.5,2
423,Super built-up  Area,Ready To Move,Ambalipura,SJarkte,1105.0,2.0,1.0,75.0,2
424,Built-up  Area,Ready To Move,Hoodi,Dhgraas,985.0,2.0,2.0,67.0,2
426,Super built-up  Area,17-Jul,Balagere,HiqueMa,1590.0,3.0,2.0,79.0,3
427,Super built-up  Area,Ready To Move,CV Raman Nagar,Srshq T,1120.0,2.0,2.0,55.0,2
428,Super built-up  Area,Ready To Move,other,SPontna,1069.0,2.0,1.0,55.0,2
429,Super built-up  Area,Ready To Move,Marathahalli,Prionad,1933.0,3.0,2.0,140.0,3
430,Built-up  Area,16-Mar,Hosur Road,PuendWe,1194.0,2.0,0.0,69.0,2
431,Super built-up  Area,Ready To Move,Brookefield,Danna S,1150.0,2.0,3.0,69.0,2
433,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1419.0,2.0,2.0,48.1,2
436,Super built-up  Area,Ready To Move,other,MSanaer,1450.0,3.0,2.0,55.0,3
437,Super built-up  Area,18-Jul,other,Plowsri,1630.0,3.0,2.0,68.29,3
438,Super built-up  Area,Ready To Move,Dasanapura,Tavenew,708.0,1.0,1.0,40.0,2
441,Super built-up  Area,Ready To Move,Bellandur,Ocavees,1250.0,2.0,1.0,76.0,2
442,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1400.0,2.0,1.0,95.0,3
444,Super built-up  Area,Ready To Move,Ardendale,SoystAm,1750.0,3.0,2.0,100.0,3
445,Super built-up  Area,Ready To Move,Vittasandra,Prlla C,1404.0,2.0,1.0,71.0,2
446,Super built-up  Area,Ready To Move,Hoodi,SMaxyay,1715.0,2.0,2.0,95.0,3
447,Built-up  Area,18-Apr,Electronic City,Prarkun,630.0,1.0,1.0,34.65,1
448,Super built-up  Area,Ready To Move,Harlur,SosicCl,1752.12,3.0,2.0,135.0,3
450,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1295.0,2.0,1.0,55.47,2
451,Plot  Area,Ready To Move,other,Bancyri,1800.0,3.0,2.0,252.0,3
452,Super built-up  Area,18-Sep,Sarjapur  Road,PualeSk,1346.0,2.0,1.0,74.03,2
454,Super built-up  Area,Ready To Move,Hormavu,ElavuHo,1150.0,2.0,2.0,55.0,2
455,Built-up  Area,Ready To Move,other,Gontyol,3309.0,4.0,3.0,325.0,4
456,Super built-up  Area,18-May,Chandapura,SunceEs,1190.0,2.0,2.0,30.35,3
457,Super built-up  Area,Ready To Move,AECS Layout,DSutyng,1620.0,3.0,2.0,98.0,3
459,Super built-up  Area,Ready To Move,other,Bancyri,5000.0,9.0,3.0,360.0,11
